tx_bairro;Freq;per
NOVA CIDADE;396;0,000431435995489533
MOOCA;393;0,000428167540978248
PLANALTINA;393;0,000428167540978248
AGUA VERDE;389;0,000423809601629869
PACIENCIA;384;0,000418362177444395
JARDIM PAULISTANO;383;0,000417272692607301
UNIAO;383;0,000417272692607301
BARRA FUNDA;382;0,000416183207770206
SETOR OESTE;382;0,000416183207770206
PRADO;380;0,000414004238096016
ANCHIETA;377;0,000410735783584732
AGUA BRANCA;374;0,000407467329073448
BOM JARDIM;373;0,000406377844236353
ITAIM PAULISTA;372;0,000405288359399258
POVOADO;372;0,000405288359399258
VILA ESPERANCA;371;0,000404198874562163
VILA OPERARIA;371;0,000404198874562163
PINHEIRINHO;370;0,000403109389725068
ESPERANCA;368;0,000400930420050879
VILA FORMOSA;367;0,000399840935213784
FAROL;366;0,000398751450376689
REPUBLICA;365;0,000397661965539595
BRAS;364;0,0003965724807025
COMERCIO;362;0,00039439351102831
NITEROI;362;0,00039439351102831
ITAIM BIBI;360;0,000392214541354121
JARDIM AEROPORTO;358;0,000390035571679931
BUTANTA;356;0,000387856602005742
JARDIM GUANABARA;356;0,000387856602005742
ROSARIO;356;0,000387856602005742
PARQUE INDUSTRIAL;352;0,000383498662657363
SERRARIA;351;0,000382409177820268
CIDADE TIRADENTES;349;0,000380230208146078
SANTA HELENA;346;0,000376961753634794
JARAGUA;345;0,000375872268797699
ESTACAO;344;0,000374782783960604
PEDREIRA;344;0,000374782783960604
SAUDE;344;0,000374782783960604
LAPA;343;0,00037369329912351
MARCO;343;0,00037369329912351
BARRO PRETO;339;0,00036933535977513
PARTENON;339;0,00036933535977513
SAO JUDAS TADEU;339;0,00036933535977513
CEILANDIA SUL (CEILANDIA);338;0,000368245874938036
LAGOINHA;338;0,000368245874938036
SAO DOMINGOS;338;0,000368245874938036
CONCEICAO;337;0,000367156390100941
CRISTO REDENTOR;336;0,000366066905263846
VILA OLIMPIA;335;0,000364977420426751
BONFIM;334;0,000363887935589656
MENINO DEUS;331;0,000360619481078372
RETIRO;331;0,000360619481078372
CENTENARIO;330;0,000359529996241277
CAJURU;329;0,000358440511404183
VILA SANTO ANTONIO;325;0,000354082572055803
ICARAI;324;0,000352993087218709
HELIOPOLIS;323;0,000351903602381614
ZONA RUAL;321;0,000349724632707424
FONSECA;320;0,00034863514787033
PORTAO;320;0,00034863514787033
PALMEIRAS;319;0,000347545663033235
SETOR AEROPORTO;318;0,00034645617819614
NOVA MARABA;316;0,00034427720852195
CEILANDIA NORTE (CEILANDIA);314;0,000342098238847761
CIDADE DE DEUS;314;0,000342098238847761
MANGABEIRA;313;0,000341008754010666
VERA CRUZ;311;0,000338829784336477
ITINGA;310;0,000337740299499382
JARDIM TROPICAL;308;0,000335561329825192
SAO MATEUS;308;0,000335561329825192
CANAA;307;0,000334471844988097
VILA CLEMENTINO;305;0,000332292875313908
AREAL;304;0,000331203390476813
JARDIM BRASIL;304;0,000331203390476813
SANTA CLARA;298;0,000324666481454244
JARDIM ELDORADO;297;0,00032357699661715
MORADA DO SOL;296;0,000322487511780055
MADUREIRA;295;0,00032139802694296
JARDIM DAS OLIVEIRAS;293;0,00031921905726877
BOM PASTOR;292;0,000318129572431676
TIROL;291;0,000317040087594581
FLAMENGO;290;0,000315950602757486
TORRE;290;0,000315950602757486
GUANABARA;289;0,000314861117920391
SAO BENTO;289;0,000314861117920391
BARRA;287;0,000312682148246202
PAVUNA;287;0,000312682148246202
RAMOS;287;0,000312682148246202
PITUBA;286;0,000311592663409107
SANTO AGOSTINHO;286;0,000311592663409107
SETOR HABITACIONAL VICENTE PIRES;286;0,000311592663409107
ESTREITO;283;0,000308324208897823
SAO CAETANO;283;0,000308324208897823
JARDIM ESPERANCA;280;0,000305055754386538
SITIO CERCADO;280;0,000305055754386538
SUMARE;279;0,000303966269549444
DOM BOSCO;277;0,000301787299875254
CACHOEIRA;276;0,000300697815038159
SAGRADA FAMILIA;276;0,000300697815038159
SANTA FE;276;0,000300697815038159
SAO MIGUEL PAULISTA;276;0,000300697815038159
TRIANGULO;276;0,000300697815038159
FLORES;275;0,000299608330201064
VILA BUARQUE;271;0,000295250390852685
JARDIM PANORAMA;270;0,000294160906015591
IRAJA;268;0,000291981936341401
JARDIM BRASILIA;268;0,000291981936341401
UBERABA;268;0,000291981936341401
CACHOEIRINHA;267;0,000290892451504306
REBOUCAS;264;0,000287623996993022
Z RURAL;264;0,000287623996993022
FAZENDINHA;263;0,000286534512155927
JARDIM ATLANTICO;263;0,000286534512155927
MORUMBI;263;0,000286534512155927
VARGEM GRANDE;263;0,000286534512155927
UMARIZAL;262;0,000285445027318832
MARAMBAIA;261;0,000284355542481738
VILA MATHIAS;261;0,000284355542481738
BOSQUE;260;0,000283266057644643
CAMPINA;260;0,000283266057644643
CASTELO BRANCO;260;0,000283266057644643
PONTE ALTA NORTE (GAMA);260;0,000283266057644643
AGUA FRIA;259;0,000282176572807548
INDIANOPOLIS;259;0,000282176572807548
ITAPUA;258;0,000281087087970453
SENADOR CAMARA;258;0,000281087087970453
BAIRRO NOVO;257;0,000279997603133358
PAJUCARA;257;0,000279997603133358
SEPETIBA;257;0,000279997603133358
SEGUNDO DISTRITO;256;0,000278908118296264
1 DISTRITO;255;0,000277818633459169
ALTO;255;0,000277818633459169
BELO HORIZONTE;255;0,000277818633459169
GETULIO VARGAS;255;0,000277818633459169
INTERLAGOS;255;0,000277818633459169
JARDIM IMPERIAL;254;0,000276729148622074
SANTA CATARINA;254;0,000276729148622074
AREIA BRANCA;253;0,000275639663784979
MERCES;253;0,000275639663784979
ZONA  RURAL;253;0,000275639663784979
INGLESES DO RIO VERMELHO;252;0,000274550178947885
ILHA DO GOVERNADOR;251;0,00027346069411079
SANTA ISABEL;251;0,00027346069411079
AMERICANOPOLIS;250;0,000272371209273695
JARDIM DAS PALMEIRAS;249;0,0002712817244366
ACLIMACAO;248;0,000270192239599505
CANDEIAS;248;0,000270192239599505
GAVEA;248;0,000270192239599505
MONTE ALEGRE;248;0,000270192239599505
SAO LOURENCO;248;0,000270192239599505
BARREIROS;247;0,000269102754762411
GUARANI;246;0,000268013269925316
LAGO SUL;245;0,000266923785088221
OURO PRETO;245;0,000266923785088221
SANTA TERESA;245;0,000266923785088221
VILA PROGRESSO;245;0,000266923785088221
CASA AMARELA;244;0,000265834300251126
SANTA INES;244;0,000265834300251126
GUAIANAZES;243;0,000264744815414031
SAO BERNARDO;243;0,000264744815414031
SAO JOAQUIM;243;0,000264744815414031
JARDIM CALIFORNIA;242;0,000263655330576937
MEIER;242;0,000263655330576937
SAO BRAZ;242;0,000263655330576937
BARREIRO;241;0,000262565845739842
CAMBUCI;240;0,000261476360902747
CIDADE BAIXA;240;0,000261476360902747
ZONA 01;240;0,000261476360902747
ALECRIM;239;0,000260386876065652
CAMPINAS;239;0,000260386876065652
SAVASSI;239;0,000260386876065652
BARRO VERMELHO;238;0,000259297391228558
SAO ROQUE;238;0,000259297391228558
PARQUE DAS NACOES;237;0,000258207906391463
BANDEIRANTES;236;0,000257118421554368
CANUDOS;235;0,000256028936717273
LIMOEIRO;235;0,000256028936717273
ALTO ALEGRE;234;0,000254939451880178
JARDIM CATARINA;233;0,000253849967043084
SANTISSIMO;233;0,000253849967043084
CAJAZEIRAS;232;0,000252760482205989
JARDIM SAO JOSE;232;0,000252760482205989
PARANOA;232;0,000252760482205989
ITAIPU;231;0,000251670997368894
AREIAS;230;0,000250581512531799
NOVO;230;0,000250581512531799
SAO PAULO;230;0,000250581512531799
PALMITAL;228;0,00024840254285761
RIACHO FUNDO I;228;0,00024840254285761
TARUMA;228;0,00024840254285761
GRAJAU;227;0,000247313058020515
SAO MARCOS;227;0,000247313058020515
VILA LEOPOLDINA;227;0,000247313058020515
GUADALUPE;226;0,00024622357318342
LEBLON;226;0,00024622357318342
VILA SAO JOAO;226;0,00024622357318342
BRASIL;225;0,000245134088346325
ADRIANOPOLIS;223;0,000242955118672136
ITARARE;223;0,000242955118672136
SE;223;0,000242955118672136
JACARE;219;0,000238597179323757
SALGADO FILHO;219;0,000238597179323757
BROTAS;218;0,000237507694486662
JARDIM VITORIA;218;0,000237507694486662
JAGUARIBE;217;0,000236418209649567
INHAUMA;216;0,000235328724812472
TIRADENTES;216;0,000235328724812472
VENEZA;216;0,000235328724812472
XAXIM;215;0,000234239239975378
COSMOS;214;0,000233149755138283
PIRATININGA;214;0,000233149755138283
RIO VERMELHO;214;0,000233149755138283
SERRA;214;0,000233149755138283
VILA MARGARIDA;214;0,000233149755138283
AMERICA;213;0,000232060270301188
TRES VENDAS;213;0,000232060270301188
VILA UNIAO;213;0,000232060270301188
GUAMA;212;0,000230970785464093
PADRE MIGUEL;212;0,000230970785464093
SANTA BARBARA;212;0,000230970785464093
BEIRA RIO;210;0,000228791815789904
ENGENHO NOVO;210;0,000228791815789904
JARDIM SANTO ANTONIO;210;0,000228791815789904
JORGE TEIXEIRA;210;0,000228791815789904
VILA APARECIDA;209;0,000227702330952809
JARDIM VISTA ALEGRE;208;0,000226612846115714
JUNDIAPEBA;208;0,000226612846115714
PERPETUO SOCORRO;208;0,000226612846115714
TERCEIRO DISTRITO;208;0,000226612846115714
SARANDI;207;0,000225523361278619
TABOAO;207;0,000225523361278619
CIDADE OPERARIA;206;0,000224433876441525
VALE DO SOL;206;0,000224433876441525
CAMPO BELO;204;0,000222254906767335
NAVEGANTES;204;0,000222254906767335
BATEL;202;0,000220075937093146
CASTELO;202;0,000220075937093146
POCO;202;0,000220075937093146
MEIRELES;201;0,000218986452256051
CAMPO LIMPO;200;0,000217896967418956
INHOAIBA;200;0,000217896967418956
MIGUEL COUTO;200;0,000217896967418956
UVARANAS;200;0,000217896967418956
LAGOA;199;0,000216807482581861
SERRINHA;199;0,000216807482581861
